key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-administrator1,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator2,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator2@acme.com'}",administrator2,administrator2
# Sponsors
user-account-sponsor1,true,"UserIdentity{name: 'Sponsor', surname: 'One', email: 'sponsor1@acme.com'}",sponsor1,sponsor1
user-account-sponsor2,true,"UserIdentity{name: 'Sponsor', surname: 'Two', email: 'sponsor2@acme.com'}",sponsor2,sponsor2
user-account-sponsor3,true,"UserIdentity{name: 'Sponsor', surname: 'Three', email: 'sponsor3@acme.com'}",sponsor3,sponsor3
